cxcfile-hobbit24hour,image name-24hour,cellnum24hour,slice24hour,sumhobbit24hour,maxhobbit24hour,sumdilatedhobbit24hour,maxdilatedhobbit24hour,area24hour,sumlinc24hour,maxlinc24hour,sumdilatedlinc24hour,maxdilatedlinc24hour,url24hour
6,24hour-6.png,8,19,1860846.5,8123.3276,2644919.8,8845.1,224.636,2699159.8,10169.844,3143494.8,10169.844,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,9,15,1028528.1,6399.19,1464942.2,7493.6733,187.219,1156953.4,7181.006,1342151.4,7181.006,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,10,21,1630179.2,6961.9653,1763068.4,6961.9653,190.512,784490.5,8962.095,1056669.2,8962.095,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,11,16,196162.81,2247.1536,267593.72,2451.5752,82.085,136778.27,2224.685,263588.9,2442.1423,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,12,13,1200814.9,7413.5776,1462116.1,7413.5776,185.847,374162.62,2564.1978,468915.1,2564.1978,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,13,11,565967.7,5079.3423,776662.56,5079.3423,176.949,959463.7,5252.817,1030081.4,5252.817,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,14,1,1420787.9,13506.69,1496439,13506.69,187.415,654125.2,4120.274,957343.75,4120.274,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
7,24hour-7.png,1,17,880907.56,3120.1213,1033318.94,3120.1213,158.897,1793335.4,6804.783,2745594.5,9136.8545,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,2,16,1160903.2,9869.17,1685317.4,9869.17,124.93,2507181.5,15828.963,2845765.2,15828.963,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,3,16,214888.52,2450.3604,394351.16,4850.2383,149.136,514794.72,6340.0347,779145.8,6340.0347,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,4,8,437052,4323.1826,614192.5,4492.197,111.74,837197.56,3361.4453,952243.25,3361.4453,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,5,21,3335296.8,10682.384,3732825.8,10682.384,155.977,2874525.2,11722.6875,3001450.8,11722.6875,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,6,17,1413787.1,6011.8584,1816710.5,6416.5728,184.789,1784278,15131.161,1963949,15131.161,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,7,16,2149943.5,15241.598,2537035.5,15241.598,140.16,3061230,24963.795,3170189.5,24963.795,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,8,17,1543943.9,8454.589,2311193,8939.104,121.402,632266.8,2429.6648,1072757.5,2902.548,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,9,14,1285300.6,13927.572,1495424.2,13927.572,147.274,435370.6,2749.587,484180.8,2749.587,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,10,17,1927557.4,7572.469,2279544.2,7572.469,118.423,1676084.9,11629.237,2123757.5,11629.237,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,11,19,2014130.2,18577.936,2396172.2,18577.936,133.848,1144724.9,4980.354,1192476.1,4980.354,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,12,16,399806.2,7123.9956,756263,8263.683,88.886,228103.58,4454.896,343212.9,4454.896,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,13,14,397601.28,3572.5857,554248.2,3572.5857,99.156,925753.3,2852.1516,1106981.5,2852.1516,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,14,13,900125.44,15441.72,1071320.5,15441.72,126.008,346373.94,3463.8215,446279.6,3463.8215,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,15,14,2403242.5,10245.5,2466750.2,10245.5,155.624,1540731.4,12318.323,1589151.1,12318.323,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
7,24hour-7.png,16,1,287849.66,8173.9546,320671.6,8173.9546,140.944,147234.05,1753.7079,277677.12,2011.6809,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-7.png
8,24hour-8.png,1,16,1212647,9668.714,1467138.4,9668.714,121.442,1731187.1,19591.814,1902858.9,19591.814,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-8.png
8,24hour-8.png,2,6,1228836.6,7571.69,2362494.2,7571.69,156.722,1827346.5,7048.3325,4844884.5,34059.785,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-8.png
8,24hour-8.png,3,4,1113501,16332.64,1294030,16332.64,164.797,1825665.6,26256.668,2207342.5,26256.668,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-8.png
